219.142.18.122 - - [05/Nov/2013:18:45:25 +0800] "GET /solr/tpl/query.html?_=1383648327210 HTTP/1.1" 200 13119
219.142.18.122 - - [05/Nov/2013:18:45:25 +0800] "GET /solr/img/div.gif HTTP/1.1" 200 1093
219.142.18.122 - - [05/Nov/2013:18:45:25 +0800] "GET /solr/img/ico/minus-button.png HTTP/1.1" 200 479
219.142.18.122 - - [05/Nov/2013:18:45:29 +0800] "GET /solr/tpl/file.html?_=1383648331110 HTTP/1.1" 200 878
219.142.18.122 - - [05/Nov/2013:18:45:29 +0800] "GET /solr/collection1/admin/file?file=schema.xml&contentType=text/xml;charset=utf-8&_=1383648331167 HTTP/1.1" 200 55531
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/ HTTP/1.1" 200 5549
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/common.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/cloud.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/analysis.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/dashboard.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/cores.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/dataimport.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/index.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/java-properties.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/logging.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/menu.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/plugins.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/documents.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/query.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/replication.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/schema-browser.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/styles/threads.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/css/chosen.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/require.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/main.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/order.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/console.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/jquery.cookie.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/jquery.form.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/jquery.jstree.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/jquery.sammy.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/jquery.timeago.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/jquery.ajaxfileupload.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/jquery.blockUI.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/highlight.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/linker.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/ZeroClipboard.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/d3.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/lib/chosen.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/app.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/analysis.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/cloud.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/cores.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/documents.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/dataimport.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/dashboard.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/file.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/index.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/java-properties.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/logging.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/ping.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/plugins.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/query.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/replication.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/schema-browser.js?_=4.4.0 HTTP/1.1" 304 -
